need,raw_score,percentile,category
nur,12,24,Low
nur,13,32,Average
nur,14,41,Average
nur,15,50,Average
nur,16,59,Average
nur,17,68,Average
nur,18,76,High
nur,19,82,High
nur,20,88,High
nur,21,92,Very High
nur,22,95,Very High
nur,23,97,Very High
nur,24,98,Very High
nur,25,99,Very High
nur,26,99,Very High
nur,27,99,Very High
nur,28,99,Very High
cha,0,1,Very Low
cha,1,1,Very Low
cha,2,1,Very Low
cha,3,1,Very Low
cha,4,2,Very Low
cha,5,3,Very Low
cha,6,5,Very Low
cha,7,8,Very Low
cha,8,12,Low
cha,9,16,Low
cha,10,22,Low
cha,11,30,Average
cha,12,38,Average
cha,13,46,Average
cha,14,55,Average
cha,15,64,Average
cha,16,72,Average
cha,17,79,High
cha,18,85,High
cha,19,89,High
cha,20,93,Very High
cha,21,95,Very High
cha,22,97,Very High
cha,23,98,Very High
cha,24,99,Very High
cha,25,99,Very High
cha,26,99,Very High
cha,27,99,Very High
cha,28,99,Very High
end,0,1,Very Low
end,1,1,Very Low
end,2,1,Very Low
end,3,1,Very Low
end,4,1,Very Low
end,5,1,Very Low
end,6,1,Very Low
end,7,3,Very Low
end,8,4,Very Low
end,9,7,Very Low
end,10,10,Low
end,11,15,Low
end,12,21,Low
end,13,28,Average
end,14,36,Average
end,15,45,Average
end,16,54,Average
end,17,62,Average
end,18,71,Average
end,19,78,High
end,20,84,High
end,21,89,High
end,22,93,Very High
end,23,95,Very High
end,24,97,Very High
end,25,98,Very High
end,26,99,Very High
end,27,99,Very High
end,28,99,Very High
het,0,1,Very Low
het,1,1,Very Low
het,2,1,Very Low
het,3,2,Very Low
het,4,4,Very Low
het,5,6,Very Low
het,6,9,Very Low
het,7,13,Low
het,8,18,Low
het,9,24,Low
het,10,32,Average
het,11,40,Average
het,12,48,Average
het,13,57,Average
het,14,65,Average
het,15,73,Average
het,16,80,High
het,17,85,High
het,18,90,Very High
het,19,93,Very High
het,20,96,Very High
het,21,97,Very High
het,22,98,Very High
het,23,99,Very High
het,24,99,Very High
het,25,99,Very High
het,26,99,Very High
het,27,99,Very High
het,28,99,Very High
agg,0,1,Very Low
agg,1,1,Very Low
agg,2,1,Very Low
agg,3,2,Very Low
agg,4,3,Very Low
agg,5,5,Very Low
agg,6,7,Very Low
agg,7,11,Low
agg,8,15,Low
agg,9,21,Low
agg,10,28,Average
agg,11,35,Average
agg,12,43,Average
agg,13,52,Average
agg,14,60,Average
agg,15,68,Average
agg,16,75,High
agg,17,81,High
agg,18,87,High
agg,19,91,Very High
agg,20,94,Very High
agg,21,96,Very High
agg,22,97,Very High
agg,23,99,Very High
agg,24,99,Very High
agg,25,99,Very High
agg,26,99,Very High
agg,27,99,Very High
agg,28,99,Very High
